Attention And Bigru
Training loss: 1.1853, validation loss: 0.4216, best val loss: 0.4216
Training loss: 0.0543, validation loss: 0.0502, best val loss: 0.0500
Training loss: 0.0538, validation loss: 0.0499, best val loss: 0.0499
Training loss: 0.0533, validation loss: 0.0504, best val loss: 0.0499
Training loss: 0.0528, validation loss: 0.0505, best val loss: 0.0499
Training loss: 0.0523, validation loss: 0.0496, best val loss: 0.0496
Training loss: 0.0519, validation loss: 0.0497, best val loss: 0.0496
Training loss: 0.0516, validation loss: 0.0490, best val loss: 0.0490
Training loss: 0.0513, validation loss: 0.0493, best val loss: 0.0490
Training loss: 0.0510, validation loss: 0.0492, best val loss: 0.0490
Training loss: 0.0508, validation loss: 0.0495, best val loss: 0.0490
Training loss: 0.0504, validation loss: 0.0488, best val loss: 0.0488
Training loss: 0.0503, validation loss: 0.0489, best val loss: 0.0488
Training loss: 0.0502, validation loss: 0.0490, best val loss: 0.0488
Training loss: 0.0502, validation loss: 0.0490, best val loss: 0.0488
Training loss: 0.0501, validation loss: 0.0491, best val loss: 0.0488
Training loss: 0.0500, validation loss: 0.0489, best val loss: 0.0488
Training loss: 0.0573, validation loss: 0.0508, best val loss: 0.0488
Training loss: 0.0536, validation loss: 0.0529, best val loss: 0.0488
Training loss: 0.0527, validation loss: 0.0523, best val loss: 0.0488
Training loss: 0.0519, validation loss: 0.0507, best val loss: 0.0488
Training loss: 0.0516, validation loss: 0.0500, best val loss: 0.0488
Training loss: 0.0508, validation loss: 0.0501, best val loss: 0.0488
Training loss: 0.0503, validation loss: 0.0503, best val loss: 0.0488
Training loss: 0.0497, validation loss: 0.0482, best val loss: 0.0482
Training loss: 0.0491, validation loss: 0.0481, best val loss: 0.0481
Training loss: 0.0485, validation loss: 0.0504, best val loss: 0.0481
Training loss: 0.0481, validation loss: 0.0513, best val loss: 0.0481
Training loss: 0.0476, validation loss: 0.0487, best val loss: 0.0481
Training loss: 0.0470, validation loss: 0.0508, best val loss: 0.0481
Training loss: 0.0467, validation loss: 0.0465, best val loss: 0.0465
Training loss: 0.0461, validation loss: 0.0490, best val loss: 0.0465
Training loss: 0.0456, validation loss: 0.0471, best val loss: 0.0465
Training loss: 0.0452, validation loss: 0.0469, best val loss: 0.0465
Training loss: 0.0448, validation loss: 0.0472, best val loss: 0.0465
Training loss: 0.0444, validation loss: 0.0471, best val loss: 0.0465
Training loss: 0.0441, validation loss: 0.0465, best val loss: 0.0465
Training loss: 0.0437, validation loss: 0.0480, best val loss: 0.0465
Training loss: 0.0433, validation loss: 0.0480, best val loss: 0.0465
Training loss: 0.0430, validation loss: 0.0477, best val loss: 0.0465
Training loss: 0.0427, validation loss: 0.0479, best val loss: 0.0465
Training loss: 0.0425, validation loss: 0.0471, best val loss: 0.0465
Training loss: 0.0423, validation loss: 0.0475, best val loss: 0.0465
Training loss: 0.0421, validation loss: 0.0468, best val loss: 0.0465
Training loss: 0.0420, validation loss: 0.0472, best val loss: 0.0465
Training loss: 0.0418, validation loss: 0.0469, best val loss: 0.0465
Training loss: 0.0417, validation loss: 0.0469, best val loss: 0.0465
